,human,machine
805,1/12/81,1981-01-12
806,21 07 16,2016-07-21
807,sep 2 2005,2005-09-02
808,5 october 1974,1974-10-05
809,sunday april 23 2006,2006-04-23
810,07.07.16,2016-07-07
811,1/12/72,1972-01-12
812,tuesday january 22 1974,1974-01-22
813,thursday april 4 1996,1996-04-04
814,monday july 21 1980,1980-07-21
815,tuesday august 8 2006,2006-08-08
816,thursday november 13 1986,1986-11-13
817,august 21 2016,2016-08-21
818,tuesday july 14 1981,1981-07-14
819,thursday july 14 1977,1977-07-14
820,18 feb 2004,2004-02-18
821,8/24/05,2005-08-24
822,feb 15 2008,2008-02-15
823,13 jul 2010,2010-07-13
824,1 02 04,2004-02-01
825,tuesday august 2 1988,1988-08-02
826,monday april 24 1989,1989-04-24
827,february 11 1972,1972-02-11
828,12 sep 1973,1973-09-12
829,saturday january 18 1997,1997-01-18
830,sunday april 27 1997,1997-04-27
831,5/30/08,2008-05-30
832,tuesday november 18 1975,1975-11-18
833,17 04 08,2008-04-17
834,4 december 1979,1979-12-04
835,tuesday november 15 1983,1983-11-15
836,friday may 14 1976,1976-05-14
837,15.05.13,2013-05-15
838,wednesday april 25 1990,1990-04-25
839,21 march 2013,2013-03-21
840,4 09 98,1998-09-04
841,28 dec 2009,2009-12-28
842,1/27/09,2009-01-27
843,saturday february 14 2009,2009-02-14
844,3/25/96,1996-03-25
845,16 01 15,2015-01-16
846,30 jan 2018,2018-01-30
847,sunday november 14 2010,2010-11-14
848,tuesday december 30 2003,2003-12-30
849,saturday december 8 1990,1990-12-08
850,monday november 18 1974,1974-11-18
851,september 1 2006,2006-09-01
852,23 mar 1984,1984-03-23
853,29 10 08,2008-10-29
854,tuesday may 18 1982,1982-05-18
855,february 7 1978,1978-02-07
856,tuesday may 5 2009,2009-05-05
857,4 apr 2008,2008-04-04
858,thursday march 9 1989,1989-03-09
859,april 24 1984,1984-04-24
860,15 february 1988,1988-02-15
861,friday november 28 2003,2003-11-28
862,tuesday may 11 2004,2004-05-11
863,15 october 1987,1987-10-15
864,monday august 8 2016,2016-08-08
865,11 november 1980,1980-11-11
866,tuesday september 27 1983,1983-09-27
867,saturday july 18 2009,2009-07-18
868,wednesday february 17 1971,1971-02-17
869,13 06 76,1976-06-13
870,friday august 31 1973,1973-08-31
871,13 may 1998,1998-05-13
872,10 03 87,1987-03-10
873,1 march 1986,1986-03-01
874,26.07.91,1991-07-26
875,07.09.04,2004-09-07
876,saturday march 1 2008,2008-03-01
877,wednesday february 23 2005,2005-02-23
878,thursday december 30 2010,2010-12-30
879,friday january 4 1991,1991-01-04
880,monday june 25 2012,2012-06-25
881,february 28 1991,1991-02-28
882,september 17 1982,1982-09-17
883,29 april 1994,1994-04-29
884,7 december 2000,2000-12-07
885,22 oct 2004,2004-10-22
886,22 apr 1995,1995-04-22
887,10 jun 1997,1997-06-10
888,5 08 12,2012-08-05
889,thursday may 11 1978,1978-05-11
890,monday december 24 1979,1979-12-24
891,saturday september 15 2012,2012-09-15
892,saturday march 16 1996,1996-03-16
893,08 jun 1977,1977-06-08
894,21 november 1993,1993-11-21
895,sunday april 2 1989,1989-04-02
896,may 7 1972,1972-05-07
897,october 12 2001,2001-10-12
898,8 december 2000,2000-12-08
899,monday january 16 1978,1978-01-16
900,18 april 2011,2011-04-18
901,friday april 8 1994,1994-04-08
902,saturday march 2 2013,2013-03-02
903,july 16 1995,1995-07-16
904,september 14 2001,2001-09-14
905,12 aug 1980,1980-08-12
906,thursday may 10 2007,2007-05-10
907,saturday november 18 2000,2000-11-18
908,1 jun 2009,2009-06-01
909,13 december 1976,1976-12-13
910,tuesday november 12 1996,1996-11-12
911,aug 3 1970,1970-08-03
912,wednesday july 15 2009,2009-07-15
913,saturday december 2 1989,1989-12-02
914,monday october 12 1992,1992-10-12
915,28 dec 1992,1992-12-28
916,6 08 11,2011-08-06
917,01 nov 2010,2010-11-01
918,monday january 14 1974,1974-01-14
919,sunday april 17 1977,1977-04-17
920,16 april 2002,2002-04-16
921,17 apr 1998,1998-04-17
922,5/24/96,1996-05-24
923,11 september 1979,1979-09-11
924,july 17 2007,2007-07-17
925,7 09 98,1998-09-07
926,thursday march 13 1980,1980-03-13
927,1 july 1981,1981-07-01
928,december 6 1970,1970-12-06
929,wednesday february 11 1981,1981-02-11
930,tuesday march 21 1995,1995-03-21
931,04.10.05,2005-10-04
932,monday february 10 1986,1986-02-10
933,march 9 1996,1996-03-09
934,march 27 2000,2000-03-27
935,20 12 85,1985-12-20
936,sunday august 14 1983,1983-08-14
937,thursday january 25 1973,1973-01-25
938,december 26 1971,1971-12-26
939,10/11/82,1982-10-11
940,tuesday january 11 1972,1972-01-11
941,monday february 4 1974,1974-02-04
942,thursday june 12 1986,1986-06-12
943,wednesday april 7 2004,2004-04-07
944,jul 6 2004,2004-07-06
945,saturday july 14 2001,2001-07-14
946,saturday march 9 1974,1974-03-09
947,wednesday april 17 1991,1991-04-17
948,wednesday november 15 2000,2000-11-15
949,oct 3 1971,1971-10-03
950,october 4 1979,1979-10-04
951,sunday april 16 2006,2006-04-16
952,friday june 2 1978,1978-06-02
953,wednesday june 3 1992,1992-06-03
954,saturday april 17 1999,1999-04-17
955,thursday july 5 1984,1984-07-05
956,14 march 2017,2017-03-14
957,8/28/92,1992-08-28
958,friday december 20 1985,1985-12-20
959,tuesday march 1 1977,1977-03-01
960,18 jul 1970,1970-07-18
961,01 apr 2002,2002-04-01
962,monday november 29 1971,1971-11-29
963,7 mar 1974,1974-03-07
964,thursday january 31 2008,2008-01-31
965,4 oct 1992,1992-10-04
966,31 may 2000,2000-05-31
967,05 mar 1990,1990-03-05
968,mar 24 2013,2013-03-24
969,4 june 1999,1999-06-04
970,wednesday july 16 1980,1980-07-16
971,21.04.05,2005-04-21
972,wednesday january 3 2001,2001-01-03
973,thursday september 29 1983,1983-09-29
974,october 9 1970,1970-10-09
975,19.05.87,1987-05-19
976,monday july 14 2008,2008-07-14
977,tuesday may 10 1988,1988-05-10
978,sunday october 11 1992,1992-10-11
979,monday july 9 1990,1990-07-09
980,01.02.80,1980-02-01
981,11 dec 1982,1982-12-11
982,29 august 1993,1993-08-29
983,1 10 85,1985-10-01
984,thursday august 30 1990,1990-08-30
985,20 september 1994,1994-09-20
986,apr 27 1973,1973-04-27
987,22.12.92,1992-12-22
988,21 08 11,2011-08-21
989,23 january 1980,1980-01-23
990,28 may 1994,1994-05-28
991,sunday september 13 2009,2009-09-13
992,friday june 26 1987,1987-06-26
993,5 oct 1986,1986-10-05
994,26 10 72,1972-10-26
995,16 mar 2009,2009-03-16
996,12.01.89,1989-01-12
997,sunday july 25 2004,2004-07-25
998,may 14 1979,1979-05-14
999,monday september 5 2005,2005-09-05
1000,thursday december 15 1988,1988-12-15
1001,saturday march 24 2012,2012-03-24
1002,friday august 19 1983,1983-08-19
1003,19 jun 1970,1970-06-19
1004,4 12 03,2003-12-04
1005,8 jul 1989,1989-07-08
1006,7 november 2011,2011-11-07
1007,friday november 5 1982,1982-11-05
1008,17 september 1989,1989-09-17
1009,19 august 2006,2006-08-19
1010,thursday december 22 1983,1983-12-22
1011,saturday december 18 1971,1971-12-18
1012,thursday january 27 1972,1972-01-27
1013,sunday april 29 1984,1984-04-29
1014,mar 4 2000,2000-03-04
1015,16 august 1981,1981-08-16
1016,august 31 2007,2007-08-31
1017,thursday august 30 2012,2012-08-30
1018,saturday april 3 1976,1976-04-03
1019,june 13 1988,1988-06-13
1020,30 may 2007,2007-05-30
1021,august 17 1976,1976-08-17
1022,3/21/76,1976-03-21
1023,saturday march 19 1977,1977-03-19
1024,july 9 2000,2000-07-09
1025,28.11.80,1980-11-28
1026,14 april 2011,2011-04-14
1027,15 oct 2005,2005-10-15
1028,08.12.98,1998-12-08
1029,wednesday january 6 2016,2016-01-06
1030,tuesday january 28 2003,2003-01-28
1031,wednesday july 22 2009,2009-07-22
1032,17 dec 1992,1992-12-17
1033,march 28 1987,1987-03-28
1034,27 06 04,2004-06-27
1035,december 30 1993,1993-12-30
1036,monday august 17 1970,1970-08-17
1037,saturday november 6 1976,1976-11-06
1038,tuesday april 25 1972,1972-04-25
1039,7 11 17,2017-11-07
1040,monday december 21 1970,1970-12-21
1041,saturday january 28 2017,2017-01-28
1042,19 june 1983,1983-06-19
1043,thursday october 21 2010,2010-10-21
1044,sep 17 2000,2000-09-17
1045,saturday july 1 1972,1972-07-01
1046,tuesday august 6 1996,1996-08-06
1047,sunday november 19 2006,2006-11-19
1048,sunday november 7 1971,1971-11-07
1049,friday january 17 1975,1975-01-17
1050,wednesday june 17 2015,2015-06-17
1051,4 may 1992,1992-05-04
1052,friday december 1 2006,2006-12-01
1053,thursday november 14 1991,1991-11-14
1054,16.03.09,2009-03-16
1055,thursday december 29 1977,1977-12-29
1056,21.03.14,2014-03-21
1057,01 oct 2000,2000-10-01
1058,2 september 1995,1995-09-02
1059,thursday may 31 1990,1990-05-31
1060,sunday february 22 1976,1976-02-22
1061,17 sep 1996,1996-09-17
1062,2 january 1974,1974-01-02
1063,saturday april 4 1998,1998-04-04
1064,21 dec 1997,1997-12-21
1065,august 15 2001,2001-08-15
1066,21 mar 1988,1988-03-21
1067,24 aug 2008,2008-08-24
1068,13 feb 1991,1991-02-13
1069,monday february 16 1976,1976-02-16
1070,march 16 1987,1987-03-16
1071,monday december 12 2011,2011-12-12
1072,11 march 2008,2008-03-11
1073,saturday february 11 2012,2012-02-11
1074,june 7 1998,1998-06-07
1075,3/19/08,2008-03-19
1076,tuesday january 2 1979,1979-01-02
1077,july 10 1977,1977-07-10
1078,05.11.71,1971-11-05
1079,sep 6 2013,2013-09-06
1080,04.02.15,2015-02-04
1081,13.02.92,1992-02-13
1082,16 oct 1990,1990-10-16
1083,29 jan 2012,2012-01-29
1084,may 19 1995,1995-05-19
1085,18 jan 2010,2010-01-18
1086,monday may 16 1983,1983-05-16
1087,monday june 16 1986,1986-06-16
1088,october 4 2013,2013-10-04
1089,16 mar 2004,2004-03-16
1090,09.04.72,1972-04-09
1091,monday july 25 1983,1983-07-25
1092,sunday june 2 2002,2002-06-02
1093,11 oct 1983,1983-10-11
1094,saturday july 14 2001,2001-07-14
1095,22 september 1990,1990-09-22
1096,sunday august 13 1989,1989-08-13
1097,november 30 1998,1998-11-30
1098,31 03 01,2001-03-31
1099,december 3 2003,2003-12-03
1100,06.02.97,1997-02-06
1101,5 06 93,1993-06-05
1102,saturday february 8 1997,1997-02-08
1103,04.03.75,1975-03-04
1104,thursday november 17 1983,1983-11-17
1105,wednesday july 27 2011,2011-07-27
1106,november 2 2013,2013-11-02
1107,11.01.17,2017-01-11
1108,saturday march 13 2010,2010-03-13
1109,sunday april 30 1972,1972-04-30
1110,oct 22 1974,1974-10-22
1111,monday may 12 1997,1997-05-12
1112,18 june 1977,1977-06-18
1113,tuesday august 24 1976,1976-08-24
1114,monday april 17 1995,1995-04-17
1115,10 october 2004,2004-10-10
1116,sep 20 1991,1991-09-20
1117,sunday august 4 1991,1991-08-04
1118,19 jun 1996,1996-06-19
1119,saturday january 29 1983,1983-01-29
1120,monday january 1 1979,1979-01-01
1121,march 8 1975,1975-03-08
1122,tuesday march 7 2006,2006-03-07
1123,08.11.00,2000-11-08
1124,13 jan 1995,1995-01-13
1125,15 april 2013,2013-04-15
1126,21 august 1990,1990-08-21
1127,10/27/15,2015-10-27
1128,12.01.17,2017-01-12
1129,5/7/14,2014-05-07
1130,1 may 2014,2014-05-01
1131,wednesday february 21 1973,1973-02-21
1132,sunday july 4 1971,1971-07-04
1133,8 july 1983,1983-07-08
1134,25 jun 1994,1994-06-25
1135,19 sep 1998,1998-09-19
1136,friday january 2 2004,2004-01-02
1137,wednesday november 23 1983,1983-11-23
1138,monday november 30 2009,2009-11-30
1139,28 apr 1976,1976-04-28
1140,sunday april 2 2006,2006-04-02
1141,6 jul 1970,1970-07-06
1142,4/8/85,1985-04-08
1143,28 july 2010,2010-07-28
1144,30 april 2002,2002-04-30
1145,31 august 1998,1998-08-31
1146,sunday july 17 2016,2016-07-17
1147,sunday april 29 1979,1979-04-29
1148,saturday august 2 1975,1975-08-02
1149,jul 12 1999,1999-07-12
1150,12 aug 1971,1971-08-12
1151,march 26 2014,2014-03-26
1152,sep 5 1985,1985-09-05
1153,saturday june 30 2012,2012-06-30
1154,tuesday july 30 1974,1974-07-30
1155,october 6 2005,2005-10-06
1156,thursday august 2 1984,1984-08-02
1157,friday april 4 2008,2008-04-04
1158,sunday october 22 1978,1978-10-22
1159,monday august 13 2001,2001-08-13
1160,26 feb 2000,2000-02-26
1161,saturday july 6 1974,1974-07-06
1162,23 oct 2006,2006-10-23
1163,21 10 95,1995-10-21
1164,2/17/94,1994-02-17
1165,dec 26 1975,1975-12-26
1166,friday september 15 1989,1989-09-15
1167,12 04 11,2011-04-12
1168,monday august 7 1995,1995-08-07
1169,7 january 1982,1982-01-07
1170,march 31 1972,1972-03-31
1171,friday march 5 2010,2010-03-05
1172,september 3 2006,2006-09-03
1173,2 07 12,2012-07-02
1174,saturday april 24 2010,2010-04-24
1175,20 04 94,1994-04-20
1176,01 dec 1974,1974-12-01
1177,wednesday november 8 2000,2000-11-08
1178,16 september 2001,2001-09-16
1179,friday september 18 1970,1970-09-18
1180,saturday april 2 2016,2016-04-02
1181,saturday july 5 1980,1980-07-05
1182,sep 20 2010,2010-09-20
1183,october 4 1994,1994-10-04
1184,wednesday february 11 1976,1976-02-11
1185,tuesday june 28 2011,2011-06-28
1186,wednesday february 27 2002,2002-02-27
1187,monday december 11 1978,1978-12-11
1188,friday december 2 2016,2016-12-02
1189,02.11.87,1987-11-02
1190,tuesday november 5 2002,2002-11-05
1191,wednesday july 30 2014,2014-07-30
1192,tuesday august 8 1972,1972-08-08
1193,saturday march 4 2000,2000-03-04
1194,03 jan 2007,2007-01-03
1195,saturday may 1 1971,1971-05-01
1196,monday september 29 1997,1997-09-29
1197,04 may 1977,1977-05-04
1198,sunday july 5 2015,2015-07-05
1199,12.04.70,1970-04-12
1200,16 jul 1986,1986-07-16
1201,october 17 1977,1977-10-17
1202,6 december 1986,1986-12-06
1203,monday september 23 2013,2013-09-23
1204,jun 20 2005,2005-06-20
1205,7/7/04,2004-07-07
1206,06.12.91,1991-12-06
1207,13 aug 2004,2004-08-13
1208,03.07.80,1980-07-03
1209,sunday may 22 1988,1988-05-22
1210,25 aug 2009,2009-08-25
1211,july 27 2013,2013-07-27
1212,4/12/71,1971-04-12
1213,14 apr 1980,1980-04-14
1214,april 23 2004,2004-04-23
1215,friday january 2 2004,2004-01-02
1216,friday december 30 1988,1988-12-30
1217,wednesday february 16 2000,2000-02-16
1218,monday january 17 2005,2005-01-17
1219,thursday november 13 1980,1980-11-13
1220,september 20 2016,2016-09-20
1221,14 february 1987,1987-02-14
1222,august 21 1982,1982-08-21
1223,30 jun 2013,2013-06-30
1224,26 feb 2012,2012-02-26
1225,february 19 2016,2016-02-19
1226,september 19 2006,2006-09-19
1227,30 july 1999,1999-07-30
1228,nov 3 1974,1974-11-03
1229,4 february 1971,1971-02-04
1230,october 14 1971,1971-10-14
1231,1 11 15,2015-11-01
1232,sunday october 6 1996,1996-10-06
1233,april 1 1999,1999-04-01
1234,26 05 01,2001-05-26
1235,08 sep 2011,2011-09-08
1236,wednesday february 16 2000,2000-02-16
1237,25 may 1991,1991-05-25
1238,thursday january 7 1999,1999-01-07
1239,6 02 05,2005-02-06
1240,6 june 1992,1992-06-06
1241,friday october 22 1982,1982-10-22
1242,27 september 2011,2011-09-27
1243,monday february 2 1981,1981-02-02
1244,monday august 26 1991,1991-08-26
1245,saturday september 24 2016,2016-09-24
1246,12 february 1997,1997-02-12
1247,07 jan 1983,1983-01-07
1248,19 may 1992,1992-05-19
1249,november 23 1980,1980-11-23
1250,monday july 9 1979,1979-07-09
1251,20 nov 1973,1973-11-20
1252,monday may 13 2002,2002-05-13
1253,jul 2 2013,2013-07-02
1254,jun 14 1996,1996-06-14
1255,thursday may 14 1981,1981-05-14
1256,2/17/82,1982-02-17
1257,1 feb 1990,1990-02-01
1258,12 april 2003,2003-04-12
1259,wednesday january 19 2000,2000-01-19
1260,saturday may 29 1999,1999-05-29
1261,sunday april 3 2016,2016-04-03
1262,14 oct 1985,1985-10-14
1263,saturday july 26 2003,2003-07-26
1264,17 feb 1997,1997-02-17
1265,14 november 2003,2003-11-14
1266,07 apr 2014,2014-04-07
1267,wednesday november 18 1998,1998-11-18
1268,august 19 1978,1978-08-19
1269,20 oct 1993,1993-10-20
1270,27 march 1975,1975-03-27
1271,friday june 23 1989,1989-06-23
1272,friday july 18 2008,2008-07-18
1273,30 oct 1978,1978-10-30
1274,friday april 2 1971,1971-04-02
1275,11 apr 1977,1977-04-11
1276,5 october 1980,1980-10-05
1277,24 march 1983,1983-03-24
1278,monday april 13 1970,1970-04-13
1279,25 aug 1990,1990-08-25
1280,13 sep 2000,2000-09-13
1281,27 apr 1970,1970-04-27
1282,tuesday june 1 1993,1993-06-01
1283,29 august 2010,2010-08-29
1284,14 10 98,1998-10-14
1285,wednesday august 4 1993,1993-08-04
1286,thursday november 27 1980,1980-11-27
1287,friday march 23 1979,1979-03-23
1288,22 mar 1975,1975-03-22
1289,tuesday october 27 1981,1981-10-27
1290,thursday september 10 2015,2015-09-10
1291,5 aug 2014,2014-08-05
1292,tuesday april 15 2014,2014-04-15
1293,24 june 2015,2015-06-24
1294,20 september 1981,1981-09-20
1295,18 06 88,1988-06-18
1296,saturday february 26 2011,2011-02-26
1297,14 sep 2012,2012-09-14
1298,tuesday september 11 1984,1984-09-11
1299,6 08 79,1979-08-06
1300,tuesday november 1 1988,1988-11-01
1301,sunday may 12 1985,1985-05-12
1302,12 march 2016,2016-03-12
1303,30 jan 1970,1970-01-30
1304,august 11 1970,1970-08-11
1305,2 june 1988,1988-06-02
1306,nov 20 1983,1983-11-20
1307,saturday january 22 1983,1983-01-22
1308,30 may 2013,2013-05-30
1309,13 aug 1983,1983-08-13
1310,10 sep 2015,2015-09-10
1311,tuesday november 23 1971,1971-11-23
1312,sunday november 29 1981,1981-11-29
1313,31 january 2015,2015-01-31
1314,saturday may 21 2016,2016-05-21
1315,thursday may 5 1977,1977-05-05
1316,thursday october 19 1972,1972-10-19
1317,thursday october 28 1982,1982-10-28
1318,18.04.10,2010-04-18
1319,1 apr 1981,1981-04-01
1320,friday august 5 1994,1994-08-05
1321,6 feb 1994,1994-02-06
1322,6 april 1992,1992-04-06
1323,monday november 16 2015,2015-11-16
1324,sunday october 13 2013,2013-10-13
1325,tuesday march 4 2008,2008-03-04
1326,saturday june 28 2008,2008-06-28
1327,monday august 8 2016,2016-08-08
1328,29 03 11,2011-03-29
1329,20 12 99,1999-12-20
1330,sunday december 16 1973,1973-12-16
1331,sunday january 1 1995,1995-01-01
1332,monday march 7 1994,1994-03-07
1333,sunday june 13 1993,1993-06-13
1334,thursday january 12 2017,2017-01-12
1335,friday may 13 2011,2011-05-13
1336,2 nov 2000,2000-11-02
1337,february 14 1976,1976-02-14
1338,monday november 29 1993,1993-11-29
1339,6 april 1980,1980-04-06
1340,monday july 15 2002,2002-07-15
1341,2 07 92,1992-07-02
1342,wednesday may 4 1994,1994-05-04
1343,friday november 2 1990,1990-11-02
1344,august 15 1977,1977-08-15
1345,september 24 1990,1990-09-24
1346,04 jan 2004,2004-01-04
1347,september 12 2010,2010-09-12
1348,8/26/80,1980-08-26
1349,25 10 98,1998-10-25
1350,jan 16 2006,2006-01-16
1351,saturday february 17 2001,2001-02-17
1352,wednesday march 10 1976,1976-03-10
1353,thursday april 21 1988,1988-04-21
1354,11 jun 2006,2006-06-11
1355,24 june 2017,2017-06-24
1356,sunday july 4 2004,2004-07-04
1357,friday november 25 1988,1988-11-25
1358,saturday january 25 1992,1992-01-25
1359,thursday september 16 1999,1999-09-16
1360,10 apr 2004,2004-04-10
1361,wednesday september 30 1987,1987-09-30
1362,thursday march 14 2002,2002-03-14
1363,nov 8 2005,2005-11-08
1364,friday june 28 1991,1991-06-28
1365,september 25 2012,2012-09-25
1366,sep 1 1994,1994-09-01
1367,13 jul 1977,1977-07-13
1368,sunday december 25 1994,1994-12-25
1369,28 07 87,1987-07-28
1370,10 jul 2006,2006-07-10
1371,jun 6 2008,2008-06-06
1372,15 dec 1978,1978-12-15
1373,friday march 13 2009,2009-03-13
1374,16 october 2010,2010-10-16
1375,12 august 1987,1987-08-12
1376,january 12 2009,2009-01-12
1377,monday august 7 2017,2017-08-07
1378,thursday october 8 1981,1981-10-08
1379,january 2 1977,1977-01-02
1380,8 september 1974,1974-09-08
1381,tuesday march 24 1970,1970-03-24
1382,saturday july 20 1996,1996-07-20
1383,sunday may 23 1971,1971-05-23
1384,saturday may 30 1987,1987-05-30
1385,7 may 2001,2001-05-07
1386,9 june 1978,1978-06-09
1387,september 18 2010,2010-09-18
1388,tuesday july 18 2000,2000-07-18
1389,dec 18 1974,1974-12-18
1390,tuesday april 24 1990,1990-04-24
1391,july 27 1977,1977-07-27
1392,friday october 7 2016,2016-10-07
1393,25 oct 1979,1979-10-25
1394,31 08 04,2004-08-31
